Mean1,STD1,SKW1,KUR1,Mean2,STD2,SKW2,KUR2,Mean3,STD3,SKW3,KUR3,Mean4,STD4,SKW4,KUR4,Mean5,STD5,SKW5,KUR5,Mean6,STD6,SKW6,KUR6,Mean7,STD7,SKW7,KUR7,Mean8,STD8,SKW8,KUR8,Mean9,STD9,SKW9,KUR9,Mean10,STD10,SKW10,KUR10,Mean11,STD11,SKW11,KUR11,Mean12,STD12,SKW12,KUR12,Mean13,STD13,SKW13,KUR13,Mean14,STD14,SKW14,KUR14,Mean15,STD15,SKW15,KUR15,Mean16,STD16,SKW16,KUR16,Mean17,STD17,SKW17,KUR17,Label
-0.003975189,0.207219124,1.184176326,17.65623856,-0.013402832,0.079064779,-0.041184116,2.606530428,-0.013424316,0.083466999,-0.01801813,2.763269901,0.003805176,0.421458781,0.051915973,5.131257057,0.099991702,0.636795104,0.136499166,1.922345638,-0.032916505,0.08457987,-0.004625905,2.737888813,-0.003920898,0.08058463,0.02248455,2.660858393,-0.004489746,0.08259958,0.02058474,2.750495911,-0.007530762,0.080831848,-0.004954939,2.70878315,-0.009394043,0.080593742,-0.021744547,2.686458826,-0.010140625,0.080004476,0.00469142,2.710107803,-0.011310547,0.07802856,0.012485057,2.622210503,-0.011799317,0.080294974,-0.00419675,2.700543642,-0.012063965,0.079398952,-0.018987119,2.595764875,-0.012054199,0.081037343,0.002417622,2.737843037,-0.012723144,0.082618661,0.014071077,2.761844158,-0.012229004,0.078949526,-0.010253363,2.62238431,M3
-0.01327063,0.081538357,0.001070454,2.704681158,-0.01314209,0.083211012,-0.00387056,2.748191118,-0.013823731,0.083282918,0.001446006,2.774369955,-0.013483887,0.081680022,0.003460371,2.677458286,-0.01304541,0.082646988,-0.004994689,2.734980822,-0.013518066,0.077886783,0.001726718,2.595122576,-0.012878418,0.080621354,-0.007219431,2.66736722,-0.013421386,0.080288373,0.003998761,2.699949265,-0.013480469,0.08116708,-0.004606595,2.693570375,-0.012426269,0.082620911,0.000969344,2.725023746,-0.013314453,0.07933446,0.011863178,2.623890638,-0.013338379,0.080894634,0.024201671,2.641561031,-0.012996582,0.083397813,0.008447702,2.75158453,-0.013905762,0.082013987,-0.006757287,2.674836159,-0.013272461,0.084763445,-0.002057242,2.76656723,-0.012906739,0.08001399,-0.003799168,2.644211054,-0.013375976,0.08052776,-0.005373761,2.71907115,M3
-0.016895568,0.16825752,0.051237747,25.57537079,-0.013808594,0.080403097,0.007399447,2.699080944,-0.013160156,0.079491004,0.030587433,2.62576437,-0.013434082,0.081248246,-0.012026806,2.63229084,-0.013279785,0.079080574,0.003459777,2.579428434,-0.013606934,0.079394944,-0.011793355,2.661561489,-0.012814942,0.081467651,-0.005251263,2.689296007,-0.011946777,0.08070796,-1.71178E-05,2.670213699,-0.014141602,0.082991563,-0.002516432,2.79910183,-0.013572265,0.080524132,0.007900704,2.673723459,-0.012699218,0.080021471,-0.00334743,2.6641891,-0.050746582,0.591726363,0.19026123,2.683261871,-0.021737793,0.100599043,-0.527434111,3.544947147,-0.01577295,0.083190687,0.00034122,2.708202124,-0.016819336,0.080420196,0.003175869,2.628062963,-0.016458008,0.080130346,0.006868081,2.641739607,-0.016330078,0.082159407,0.001899017,2.718552828,M3
-0.013542419,0.081047244,0.006599285,2.706599712,-0.013961426,0.07961721,0.017351782,2.689866304,-0.014887207,0.082982562,-0.011201184,2.756233692,-0.01333545,0.080354139,0.021698764,2.64942956,-0.014066895,0.079582654,0.017198697,2.609966993,-0.01428125,0.082569502,0.003691287,2.768128872,-0.013166992,0.079931997,0.0019142,2.67906785,-0.013612793,0.083484463,0.020799562,2.814913511,-0.01351123,0.081086233,0.003290972,2.687615633,-0.013753418,0.079849035,-0.029018434,2.662137508,-0.012945312,0.082651995,-0.012648962,2.734151363,-0.013147949,0.081045322,0.031225624,2.717942238,-0.012504394,0.081810653,0.011336074,2.688937426,-0.013897949,0.079269446,0.012536714,2.66739583,-0.013271973,0.079241961,-0.006818767,2.61715579,-0.013173828,0.082378618,0.006581084,2.757309914,-0.013160644,0.080716953,0.018788911,2.698919058,M3
-0.013272156,0.08105626,0.006246125,2.690275908,-0.01272998,0.081447907,-0.012969104,2.749739647,-0.014015625,0.08133138,0.031980406,2.716459036,-0.012992187,0.078454792,-0.023649959,2.642839193,-0.013758789,0.082479365,0.011275235,2.679143667,-0.012661621,0.083157137,0.024396708,2.778095961,-0.013488282,0.081929013,0.019633628,2.76548171,-0.013406739,0.082496986,-0.022852354,2.634430647,-0.013199707,0.07967557,-0.009068884,2.642625809,-0.013253906,0.08083459,-0.018591266,2.637601852,-0.012972657,0.079791754,0.016732588,2.615497828,-0.013513183,0.081602529,0.001174343,2.701687098,-0.013015625,0.081542186,0.029942429,2.742579222,-0.013803711,0.078518651,-0.007560299,2.612646341,-0.012540039,0.080217667,0.010470513,2.665152311,-0.013568359,0.081760399,0.015026949,2.681190252,-0.013434082,0.08150731,0.02856499,2.698677063,M3
-0.002725464,0.230600223,-0.692806005,12.92302704,-0.013146484,0.08379551,0.026893545,2.728452206,-0.013825195,0.080012187,0.002018063,2.637541294,-0.252317369,0.716382205,0.505994737,2.024019003,0.382716805,0.140099898,-0.357348442,2.943621159,0.060107421,0.114675358,0.080106899,2.61032939,-0.029371094,0.081313677,0.021761619,2.647352219,-0.026551757,0.078197151,-0.00868513,2.571799755,-0.023474609,0.079757892,0.012825074,2.6416924,-0.020914063,0.082145117,0.002858507,2.690354109,-0.017407715,0.081324749,-0.004111747,2.689231396,-0.015977051,0.083749257,-0.004774474,2.727796078,-0.015319336,0.079532623,0.000510192,2.647886515,-0.014657714,0.081217103,-0.018342372,2.68516469,-0.014999024,0.085282885,0.001766147,2.74390626,-0.014730957,0.08184126,0.025371719,2.700073481,-0.013739258,0.083183579,0.009238508,2.765529871,M3
-0.013352875,0.080900922,-0.001454302,2.685707808,-0.01299414,0.080213502,0.00203054,2.611415863,-0.014120117,0.079148896,-0.006158302,2.636193275,-0.012445313,0.081632882,-0.01837437,2.691699505,-0.013563965,0.079408281,0.024671592,2.642105579,-0.013843262,0.081767641,0.019448258,2.745459795,-0.013078613,0.079972371,0.00041434,2.652259111,-0.013075195,0.079294942,-0.012746374,2.606051683,-0.01319336,0.083387509,0.009395502,2.809286594,-0.013568359,0.080777347,0.003113602,2.70295763,-0.013527832,0.084210902,-0.036907509,2.764319658,-0.012938476,0.081164725,-0.001082776,2.671194315,-0.013303711,0.079124011,0.008113588,2.616798401,-0.013338379,0.083120503,-0.003876179,2.738869667,-0.012896485,0.080328822,-0.020001715,2.654979467,-0.01436914,0.081308424,-0.006821033,2.698997498,-0.013389649,0.079332776,0.021038709,2.595363617,M3
-0.024797333,0.228059173,0.9238078,13.58048058,-0.013438965,0.07922633,-0.001038114,2.606583357,-0.013039551,0.082441211,-0.009481218,2.735027313,-0.012486328,0.081246398,0.00017003,2.682912827,-0.013611817,0.081080228,-0.010568788,2.751903772,-0.013470215,0.082069576,-0.001364669,2.723366976,-0.013085937,0.079048797,-0.013995615,2.605480909,-0.012650391,0.082561634,-0.003584858,2.722718954,-0.013991211,0.081860438,-0.036048561,2.704846859,-0.012628418,0.081114843,0.005218921,2.691700697,-0.013536133,0.099645123,0.013556891,7.678626537,0.153895989,0.756506801,-0.19477272,1.55434072,-0.350907236,0.146966591,0.065190122,2.270811796,-0.05903174,0.08854676,-0.091481149,2.768259525,-0.002192383,0.078682832,0.016676886,2.548685789,-0.0010625,0.080128238,0.000235187,2.702636719,-0.005520508,0.079761244,-0.023513597,2.615512609,M3
-0.011950928,0.08104457,0.002304498,2.685229063,-0.006626465,0.081464909,0.022360528,2.770492792,-0.009390137,0.082384706,-0.005056775,2.761399269,-0.00939209,0.078838997,-0.000603807,2.647760391,-0.010787598,0.081258334,-0.02735316,2.728304625,-0.011788574,0.080204293,0.009025687,2.623065948,-0.012876953,0.082234956,0.027915293,2.676849365,-0.012316895,0.083198309,-0.001735111,2.776384592,-0.013253906,0.08079765,-0.007477091,2.612281561,-0.012285156,0.081163235,0.006725576,2.68557477,-0.013452637,0.079104297,-0.018242979,2.558463573,-0.012644043,0.08087223,0.01482077,2.672302008,-0.01408789,0.083457515,-0.013652137,2.671538591,-0.012401368,0.079609752,-0.013760274,2.708467245,-0.013746582,0.081845701,0.021755498,2.701428175,-0.012711426,0.07890179,0.010943331,2.631737471,-0.013453125,0.080859922,0.012002005,2.63982296,M3
-0.013288574,0.081112504,0.006654737,2.686501026,-0.013168457,0.084255375,0.004591714,2.743933201,-0.013502929,0.079281799,0.040294208,2.630389214,-0.013838867,0.082750544,0.015274059,2.74504447,-0.012927734,0.079170942,-0.001018628,2.631210804,-0.013247559,0.080231316,-0.000924264,2.637176037,-0.013330567,0.081055433,0.013774755,2.625893593,-0.013120606,0.079692937,0.013468314,2.618516445,-0.013242188,0.082159556,-0.005900305,2.660148621,-0.01307666,0.079420745,0.002470012,2.662041664,-0.01367334,0.078972116,0.003876354,2.635878086,-0.013908203,0.083424665,-0.006134236,2.831795931,-0.012684571,0.080611452,0.016017526,2.689838171,-0.012942871,0.080476522,-0.00378422,2.67508769,-0.01248291,0.081602782,0.008943567,2.65764904,-0.013940429,0.08029113,0.019644415,2.661661625,-0.013529297,0.084134251,-0.007430377,2.737243891,M3
-0.01278888,0.177590147,-0.266068935,22.14188576,-0.01260791,0.080997199,0.027476361,2.679060698,-0.009723633,0.477755249,0.019900432,4.113856792,-0.065314457,0.422284603,-0.015460507,4.184799194,0.046287596,0.084678397,-0.034291107,2.644941092,-0.00830957,0.0819152,-0.035551395,2.735760212,-0.015538086,0.079758085,-0.023420962,2.663968325,-0.016401855,0.080336578,0.001309285,2.676032066,-0.015021484,0.080318518,-0.009754026,2.666782856,-0.014712403,0.079647958,-0.010123553,2.664487123,-0.013475586,0.083576843,0.027765324,2.757301807,-0.014515625,0.081664771,0.014356329,2.671677351,-0.012793457,0.081236638,0.011788629,2.746995926,-0.01390625,0.081045628,0.019677332,2.682940245,-0.012990722,0.078285068,0.022905711,2.58195281,-0.012963867,0.079763159,-0.007954471,2.658505917,-0.012634765,0.079946913,0.002403945,2.643935204,M3
-0.013027191,0.080588937,-0.000706855,2.695739508,-0.013320801,0.080881394,0.018466236,2.72614193,-0.013504394,0.081544437,0.039540064,2.683349609,-0.012402832,0.079560086,0.01394343,2.6582129,-0.01383252,0.082834713,-0.014336278,2.735740662,-0.013269043,0.081960283,-0.006866904,2.787518501,-0.012683106,0.079023272,0.004177566,2.666910172,-0.014180176,0.080790319,-0.004938126,2.730887413,-0.012133789,0.078733109,-0.006543031,2.615317106,-0.013472168,0.082418412,0.03631958,2.79324317,-0.012430664,0.081749074,-0.0067599,2.731666803,-0.013024414,0.079434484,0.005613153,2.607693672,-0.012958985,0.081104994,-0.033725075,2.678446054,-0.012833008,0.078216128,-0.025143405,2.606617451,-0.013081543,0.080605991,-0.021555196,2.66281271,-0.013140625,0.081765763,-0.01176898,2.715895414,-0.012166992,0.078607269,0.007687702,2.622317076,M3
